rssd9001,bank_name_CR,rssd9348
4512,"CREDIT SUISSE FIRST BOST NY BR",0
4512,"CREDIT SUISSE GROUP NY BR",0
4745,"WHAPLES & FARMERS ST BK",1206171
4839,"AUSTIN BK CHICAGO",1143641
5005,"STONEHAM SVG BK",0
5050,"COMMERCIAL ST BK OF BONNER SPR",1067019
5069,"FIRST CR BK",0
5135,"FIRST ST BK OF BLAKELY",1139840
5135,"FIRST ST BK OF BLAKELY",2481443
5210,"ADAMS CTY NB",1117464
5247,"NLSB",1231333
5247,"NLSB",1206359
5274,"CLOVER LEAF BK",3053052
5274,"CLOVER LEAF BK SB",3053052
5274,"CLOVER LEAF BK SB",0
5331,"HYDE PARK B&TC",1138049
5452,"M&I CITIZENS AMERICAN BK",1199497
5461,"BANK OF AGRI & CMRC",3033746
5461,"BANK OF AGRI & CMRC",0
5751,"KEARNY CTY BK",1061594
5939,"REPUBLIC BK",2387004
6039,"ALMA EXCH B&TC",1081622
6057,"FARMERS & MRCH BK",0
6141,"TALLAHATCHIE COUNTY BK",1099775
6235,"SUNTRUST BK SOUTH CENTRAL TN N",1131787
6253,"LINN CTY BK",1050600
6253,"LINN CTY BK",1058585
6329,"ANDERSON BROS BK",1138197
6329,"ANDERSON BROS BK",2353540
6721,"M S BAILEY & SON BKR",1076477
6721,"M S BAILEY & SON BKR",2008185
6815,"GLEN ROCK ST BK",0
6842,"FIRST ST BK NEWMAN",2558505
6954,"GRETNA ST BK",1054354
6972,"FIRST INDEP BK",1134078
6972,"FIRST INDEPENDENT BK",1134078
7009,"BESSEMER TC",1246159
7045,"PEOPLES BK",1130409
7157,"STATE BK OF BLUE RAPIDS",1248760
7166,"WESTERN SIERRA NB",2508788
7456,"BANK OF HARTINGTON",1063301
7634,"FOUR CTY BK",1416457
8033,"PEOPLES B&TC POINTE COUPEE PAR",1084883
8154,"CITIZENS BK OF PRINCETON",1201233
8257,"DUBOIS NB",1120754
8417,"BANK ONE TC NA",1039502
8417,"BANK ONE TC NA",1068294
8462,"PERRYTON NB",2454773
8547,"HERITAGE CMNTY BK",1071276
8547,"PEOPLES B&TC",1071276
8631,"PLEASANTS CTY BK",2728447
8855,"RESOURCE TC",1127605
9115,"COMMERCE BK SHORE NA",1117679
9160,"CENTRAL SIERRA BK",0
9339,"UNITED CMNTY BK NORTH GEORGIA",1249347
9339,"PEOPLES BK FANNIN CTY",1249347
9357,"FIDELITY BK",3362923
9357,"FIDELITY BK",1137864
9478,"EQUALITY SB",0
9553,"ADAMS CTY BK",1053870
9807,"AMBOY BK",2611718
9807,"AMBOY NB",2611718
9955,"FIRST ST B&TC",1062425
9955,"FIRST ST B&TC OF LARNED",1062425
10157,"FIRST NB&TC IN LARNED",1060805
10250,"BANK OF ELK RIVER",3027268
10250,"BANK OF ELK RIVER",0
10577,"PACIFIC ST BK",1031168
10577,"PACIFIC ST BK",2041801
10849,"FIRST ST BK",1491614
10858,"PLATTE VALLEY ST B&TC",1066209
10858,"PLATTE VALLEY ST B&TC",1020902
11145,"LAKE OSCEOLA ST BK",0
11145,"LAKE-OSCEOLA ST BK",0
11350,"AMERICAN NB OF KIMBALL",1051081
11350,"AMERICAN NB OF KIMBALL",1023332
11640,"FIRST NB OF CLARKSDALE",1097100
11837,"FARMERS BK",1246252
12030,"FIRST NB S",1134041
12030,"FIRST NB SOUTH",1134041
12030,"FIRST NB OF ALMA",1134041
12058,"BANK OF HOLDEN",1067484
12142,"CLEVELAND ST BK",1913684
12245,"BANK N",1416747
12245,"BANK NORTH",1416747
12254,"STATE BK OF LANCASTER",2655534
12254,"STATE BK OF LANCASTER",1061651
12311,"HUNTINGTON NB",1068191
12357,"ELLSWORTH ST BK",1862960
12405,"CENTRAL NB",2194976
12647,"PORTAGE CTY BK",1141133
12656,"EMERALD BK",0
12656,"STATE BK OF BURDEN",0
12656,"STATE BK OF BURDEN",3072763
12937,"OAK BK",1201653
12937,"OAK BK",1201644
12937,"OAK T&SB",1201644
12946,"FARMERS B&TC",1135413
12955,"BANK OF NE",1066900
13037,"TRADERS BK INC",2007647
13037,"TRADERS BK",2007647
13037,"TRADERS BK",1142215
13103,"BRISTOL CTY SVG BK",2388878
13176,"DOUGLAS NB",1025475
13251,"ELYSIAN BK",1128947
13309,"BSB B&TC",1250530
13457,"BANK OF LEWELLEN",1063516
13457,"FIRST NB OF LEWELLEN",1063516
14052,"LINCOLN CMNTY BK",3613504
14052,"LINCOLN CMNTY BK",3682537
14052,"LINCOLN CMNTY BK",3483127
14052,"LINCOLN COUNTY BK",3483127
14052,"LINCOLN COUNTY BK",2235598
14155,"F&C BK",2168931
14155,"FARMERS & CMRL BK",2168931
14258,"JACKSON ST BK & TR",1120754
14258,"JACKSON ST BK & TR",1062649
14258,"JACKSON ST BK",1062649
14409,"CITIZENS BK OF MA",1245796
14454,"FIRST SECURTY BK EVANSVILLE",1123401
14454,"STEARNS BK NA",2295837
14650,"BANK OF LOCUST GROVE",2224408
14650,"BANK OF LOCUST GROVE",1054729
14753,"FARMERS ST BK OF BUCKLIN KS",0
14753,"FARMERS ST BK OF BUCKLIN KS",1059630
14865,"BANK OF EASTERN OR",2615154
14865,"BANK OF EASTERN OREGON",2615154
14931,"FIRST WESTERN BK",0
14940,"HARRIS BK OAKBROOK TERRACE",1231333
14977,"FIRST FED BK LITLFLD TX SSB",0
15170,"MITCHELL SVG BK",0
15536,"PARK NB",1130780
15536,"PULLMAN B&TC",1130780
15732,"FIRST COLONY BK",1249507
16337,"WAKULLA BK",1084155
16355,"BANK OF LARAMIE NA",2942702
16355,"BANK OF LARAMIE NA",2069382
16458,"DOUGLAS CTY BK",1051513
16551,"NORTHVIEW BK",1126037
16551,"FIRST ST BK OF FINLAYSON",1126037
16748,"ELBERFELD ST BK",3105568
16748,"ELBERFELD ST BK",0
16766,"PENINSULA BK OF CMRC",1136531
16944,"WEST MI SVG BK",0
16953,"FIRST ST BK OF FERTILE",1126952
17035,"FIRST CMNTY BK OF VIDALIA",1972391
17110,"HAVERFORD TC",0
17110,"RITTENHOUSE TC",0
17147,"FIRST MRCH BK NA",1208559
17259,"FIRST NB IN MARLOW",2096164
17464,"BANK OF THE CASCADES",1848003
17549,"FIRST BK OF OAK PARK",1130780
17633,"SOUTH CHICAGO BK",1137060
17642,"BANK OF MANSFIELD",2576424
17642,"BANK OF MANSFIELD",1100073
17839,"SUMTER B&TC",1078846
17839,"SUMTER B&TC",1140707
17950,"BANK OF BRIDGER NA",1122310
17950,"BANK OF LOVELL NA",1122310
18050,"FIRST NB",2410304
18078,"ENCORE BK NA",3555341
18126,"THREE RIVERS B&TC",2873682
18126,"THREE RIVERS B&TC",1117316
18135,"SOUTH CENTRAL BK NA",1889547
18135,"SOUTH CENTRAL B&TC OF CHICAGO",1889547
18368,"BANK OF WALNUT CREEK",1029576
18377,"BALLY SVG BK",0
18827,"FARMERS AND MERCHANTS BK OF WE",2264404
18827,"MERCHANTS NB",2264404
18827,"MERCHANTS NB KITTANNING",2264404
18836,"CAPON VALLEY BK",1131750
18854,"BANK 7",3256134
18854,"FIRST NB OF MEDFORD",0
18863,"BUSINESS BK OF CA",2853666
18863,"BUSINESS BK OF CA",0
18957,"FIRST ST BK OF BURLINGAME",1050833
19356,"SECURITY B&TC",2410603
19730,"STANDARD B&TC",1245590
19749,"BANK OF NORTH ARKANSAS",1096439
19860,"FOUNDERS BK OF ARIZONA",1202799
19936,"CITIZENS BK OF AMER",1081752
19936,"CITIZENS BK OF AMERICUS",1081752
19972,"FARMERS BLDG & SVG BK",0
20053,"SECURITY BK",1128497
20147,"FARMERS ST BK",3823657
20147,"FARMERS ST BK",1417119
20259,"FIRST ST BK",1120754
20259,"FIRST ST BK",1062649
20259,"FIRST NB",1062649
20259,"FIRST NB OF PINEDALE",1062649
20259,"FIRST NB",1050057
20259,"FIRST NB OF PINEDALE",1050057
20370,"FIRST HERITAGE BK",0
20512,"FIRST NB OF PORT ALLEGANY",0
20633,"MCNB BK&TC",2913083
20633,"MCNB BK NA",2913083
20633,"MCDOWELL CTY NB IN WELCH",2913083
20633,"MCDOWELL CTY NB IN WELCH",0
20754,"STATE BK OF COLONY",1138816
20839,"COLONY BK SE",1085170
20839,"COLONY BK SOUTHEAST",1085170
20857,"GRANITE FALLS BK",2466235
20866,"HOME VALLEY BK",2658508
21256,"STATE BK OF BURRTON",0
21359,"AMERICAN ST BK OF GRYGLA",1857760
21537,"BAYERISCHE HYPO VEREINSBK CHGO",0
21630,"TECHE B&TC",2909554
21630,"TECHE B&TC",3207510
21630,"TECHE B&TC",1086225
21658,"ALLIANCE BK",1126082
21658,"BANK OF MONDOVI",1126082
22039,"SUMITOMO MITSUI BKG CHICAGO BR",0
22039,"SUMITOMO BK CHICAGO BR",0
22048,"UNION B&TC",1098880
22057,"PINNACLE BK",1053272
22235,"COLONY BK OF ASHBURN",1085170
22235,"ASHBURN BK",1085170
22356,"FIRST NB&TC",1056479
22459,"FIRST NB&TC OF LEAVENWORTH",1054000
22543,"STATE SVG BK",1245666
22543,"STATE SVG BK FRANKFORT MI",1245666
22552,"FIRST SOUTHEAST BK",1137510
22730,"WEST UNION BK",3068289
22730,"WEST UNION BK",0
22860,"NEXTBANK NA",0
22860,"TEXTRON NB",1038484
22936,"FARMERS & MRCH BK",2922348
22936,"FARMERS & MRCH BK",0
22954,"FIRST NB",1137387
23036,"CB&T BK OF MIDDLE GA",1078846
23036,"CB&T BK OF MIDDLE GEORGIA",1078846
23036,"CB&T BK OF MIDDLE GEORGIA",1140707
23036,"CB&T BK OF MIDDLE GA",1140707
23045,"WEST MI B&TC",0
23045,"WEST MI NB&TC",0
23241,"INTEGRA BK NA",1132654
23241,"NATIONAL CITY BK OF EVANSVIL",1132654
23344,"FIRST NB&TC BARABOO",1120754
23344,"FIRST NB&TC BARABOO",1123193
23456,"FIRST NB OF HENNING",1125290
23504,"BRIDGEHAMPTON NB",1416523
23540,"OSWEGO CMNTY BK",1204627
23540,"OSWEGO CMNTY BK",2888462
23540,"OSWEGO CMNTY BK",1207123
23643,"COMMERCIAL B&TC",1098198
23755,"FIRST NAT CMNTY BK",1124118
23755,"FIRST NB OF NEW RICHMOND",1124118
23812,"FIRST NB OF CHESTER CTY",1118425
23812,"FIRST NB OF WEST CHESTER",1118425
24006,"PUTNAM CTY SVG BK",0
24266,"MID-STATE B&TC",2516943
24266,"MID-STATE BK",2516943
24453,"ROCKY MNT BK",1134818
24453,"AMERICAN NB OF ROCK SPRINGS",1134818
24659,"PRODUCE ST BK OF HOLLANDALE",0
24659,"PRODUCE ST BK",0
24668,"BANK TX NA",3488681
24668,"BANK TX NA",1138227
24668,"FIRST NB",1138227
24837,"WACHOVIA INTL BKG CORP",1120754
24837,"WACHOVIA INTL BKG CORP",1073551
24837,"FIRST UNION INTL BKG CORP",1073551
24855,"FIRST NB",0
24855,"FIRST NB OF NASH",0
24949,"BARABOO NB",1209248
25012,"ABN-AMRO BK NV NY BR",0
25357,"ALL AMER BK",0
25357,"ALL AMER BK",1059621
25450,"BANK ONE CO NA",1068294
25647,"FAMILY B&TC",2479404
25647,"1ST ST B&TC PALOS HILLS",2479404
25759,"NATIONAL BK OF CMRC TR&SA",1120754
25759,"NATIONAL BK OF CMRC TR&SA",1249440
25825,"BANK OF CARROLL",1074156
25852,"S&C BK",1121733
25852,"BANK OF NEW RICHMOND",1121733
26149,"PALMER ST BK",1245460
26233,"FIRST NB",1204346
26242,"FIRST NB&TC",1098415
26242,"FIRST NB&TC OF MOUNTAIN HOME",1098415
26457,"LA MONTE CMNTY BK",1053339
26756,"JASPER ST BK",3123487
26756,"JASPER ST BK",1125665
26765,"SAN ANTONIO NB",3551080
26765,"SAN ANTONO NB",3551080
26765,"FIRST NB",3551080
26765,"FIRST NB",0
26859,"OMNIBANK NA",1101735
26916,"DELAWARE NB",1117129
27267,"BROOKHOLLOW NB",1106329
27548,"BLACKHAWK ST BK",1491913
27614,"ANDOVER BK",1071913
27838,"HERITAGE BK",2339889
27847,"DIAMOND BK",1491333
27847,"DIAMOND STATE BK",1491333
27931,"AMERICAN SECURITY BK OF VILLE",1086533
28013,"NORTHFIELD BK",2244910
28013,"NORTHFIELD SVG BK",2244910
28152,"STATE BK OF KIMBALL",1133549
28255,"FIRST NB",1130771
28349,"ALLIED BK",2576424
28349,"BANK OF MULBERRY",2576424
28406,"HYDE PARK SVG BK",3742020
28406,"HYDE PARK SVG BK",0
28572,"COLUMBIA SVG BK",3187247
28572,"COLUMBIA SVG BK",3296877
28572,"COLUMBIA SVG BK",0
28732,"PEOPLES B&TC",1131554
29104,"UNION CTR NB",1048764
29159,"FIRSTIER BK WY",1061428
29159,"UNION ST BK",1061428
29216,"BANK AUSTRIA AG NY BR",0
29252,"MIDAMERICAN B&TC NA",1053496
29636,"CITIZENS BK",1083475
29850,"FIRST TX BK",1100813
29944,"CENTENNIAL BK",1491409
29944,"CENTENNIAL BK",3268436
29944,"PINE ST BK",1963139
29953,"HOME ST BK",1058044
30025,"FIRST NB OF ST MARYS",1072442
30052,"AMISTAD BK",1140967
30052,"BIG LAKE BK",1140967
30052,"BIG LAKE BK NA",2524658
30146,"CITIZENS NB OF NASHVILLE",1426755
30155,"SHERMAN CTY BK",1052789
30258,"RIVERBANK",1124770
30418,"COLLEGE SVG BK",0
30436,"FIRST AMER BK OF PENSCOLA NA",2385185
30502,"NORTHWAY BK",2582827
30502,"BERLIN CITY BK",2582827
30632,"FIRST NB OF WEST POINT",1085282
30650,"LAKE CMNTY BK",1125085
30650,"STATE BK OF LONG LAKE",1125085
30810,"DISCOVER BK",0
30810,"GREENWOOD TC",0
30810,"GREENWOOD TC",2162966
30856,"NBANC",1066003
30856,"NATIONAL BK OF CMRC",1066003
31134,"FIRST NB OF WAYNESBORO",1137752
31152,"STATE BK OF LORETTO",0
31255,"CENTRAL BK",1106468
31303,"TRUST CO OF NJ",0
31415,"REPUBLIC NB OF NY",1232554
31536,"SUNTRUST BK SOUTHEAST GA NA",1131787
31657,"FIRST ST BK",0
31826,"POWELL VALLEY NB",1249271
31835,"BANK OF ANGUILLA",3664216
31835,"BANK OF ANGUILLA",0
32159,"CITIZENS NB",1895007
32159,"CITIZENS NB",1138665
32234,"FIRST NB&TC",1203198
32252,"FIRST NB OF MCCOOK",1120754
32252,"FIRST NB OF MCCOOK",1249422
32252,"FIRST NB OF MCCOOK",1249440
32766,"LAKESIDE NB",1895007
33147,"FARMERS B&TC",1247615
33259,"PREMIER BK",0
33268,"ROSCOE ST BK",1909445
33549,"BLACK EARTH ST BK",2744111
33727,"MARYLAND B&TC NA",3035647
33727,"MARYLAND B&TC NA",0
33754,"FARMERS ST BK",0
33772,"PLACER SIERRA BK",1120754
33772,"PLACER SIERRA BK",3084953
33772,"PLACER SIERRA BK",2585846
33839,"PEOPLES ST BK COLFAX",2128896
33857,"BANK OF MADISON",3309713
33857,"BANK OF MADISON",1139662
34014,"STANDARD CHARTERED BK NY BR",0
34032,"MISSISSIPPI SOUTHERN BK",0
34153,"AMERICAN BK",2173720
34153,"DAKOTA BK",2173720
34359,"BANK OF MARQUETTE",1059872
34359,"FIRST NB OF MARQUETTE",1059872
34425,"BANK OF LANCASTER",2560665
34434,"MAGNOLIA ST BK",1084016
34434,"JASPER CTY BK",1084016
34452,"FIRST NB OF PARK FALLS",1122543
34537,"SEACOAST NB",1085013
34537,"FIRST NB&TC TREASURE COAST",1085013
34555,"MACON ATLANTA ST BK",1133062
34742,"FIRST WESTERN BK",2628994
34742,"CITIZENS BK",2628994
34836,"WOODBURY BKG CO",1085853
34863,"FIRST BK ROXTON TX",2262222
35057,"ALLIANT BK",2352253
35057,"COMMUNITY FIRST BK",2352253
35057,"MADISON HUNNEWELL BK",2352253
35244,"COMMUNITY BK",1491409
35244,"CMNTY BK",1491409
35244,"CMNTY BK",1097799
35301,"STATE STREET B&TC",1111435
35570,"INVESTORS SVG BK",2477754
35646,"BONDUEL ST BK",1839252
35824,"CARROLL CTY B&TC",1074156
35824,"CARROLL CTY B&TC",1951789
35842,"PREMIER BK OF JACKSONVILLE",2301907
35842,"PLEASANT PLAINS ST BK",2301907
35851,"FIRST ST BK",2893747
35851,"FIRST ST BK",0
35936,"STATE BK COLUSA",3735152
35936,"STATE BK COLUSA",0
36054,"COPPERMARK BK",1058594
36054,"AMERICREST BK",1058594
36054,"GUARANTYFIRST BK",1058594
36054,"GUARANTY B&TC",1058594
36063,"BANK OF CMRC",0
36111,"ARAB AMER BK",0
36344,"FREESTAR BK NA",1839823
36344,"PONTIAC NB",1839823
36447,"MERCANTILE BK OF AR NA",2724645
36447,"MERCANTILE BK OF AR NA",1094211
36456,"FARMERS ST BK",1472118
36830,"FSGBANK NA",2836801
36830,"FIRST ST BK",2836801
36830,"FIRST ST BK",0
36830,"FIRST ST BK",1085796
36858,"PREMIER BK",2942702
36858,"PREMIER BK",2449256
36933,"FIRST ST BK",1493672
37051,"PIGEON FALLS ST BK",2765282
37341,"BANK OF ONTARIO",1209592
37350,"STATE BK OF LEBO",0
37350,"STATE BK OF LEBO",1064634
37378,"CENTRAL VALLEY BK",2166124
37378,"CENTRAL VALLEY BK NA",2166124
37435,"UNITED BK",1082777
37640,"GERMAN AMERICAN BC",1098620
37640,"GERMAN AMERICAN BK",1098620
37659,"FARMERS ST BK",0
37659,"FARMERS ST BK",1056620
37743,"CALUMET CTY BK",2504762
37949,"BANK OF RANTOUL",1138526
38441,"FIRST RIDGE FARM ST BK",1208595
38478,"FIRST COMMUNITY BK NA",1208595
38478,"COMMUNITY B&T NA",2318446
38526,"IRON & GLASS BK",1246850
38535,"FIRST UNITED BK",1207543
38740,"OWEN CTY ST BK",1207954
38768,"BANCO DO BRASIL SA LA AGY",0
39055,"BANK OF MONROE",1052967
39327,"CALVIN B TAYLOR BKG CO BERLIN",2391300
39420,"LORAIN NB",1071669
39475,"AMERICANWEST BK",1031627
39475,"BANK OF THE WEST",1031627
39532,"CANADIAN IMPERIAL BK OF CMRC",0
39671,"ALPINE SB",0
39756,"NBC OKLAHOMA",1066003
39756,"NBANC",1066003
39756,"NATIONAL BK CMRC",1066003
39934,"FIRST NB OF GA",1086243
39934,"FIRST NB OF GEORGIA",1086243
40033,"RICHTON B&TC",2782609
40033,"RICHTON B&TC",0
40042,"M&I NORTHERN BK",1199497
40051,"UNION B&TC",1068025
40051,"UNION B&TC",1131965
40145,"CHEMICAL BK BAY AREA",1201934
40305,"CHITTENDEN TC",1114605
40350,"MURRAY ST BK",1054671
40707,"CONNECTICUT RIVER BK NA",1114502
40855,"EITZEN ST BK",1127687
40855,"EITZEN ST BK",1207691
41218,"NATIONAL AUSTRALIA BK NY BR",0
41245,"FARMERS & MRCH BK ORFORDVILLE",0
41339,"COMMERZBANK AKTIENGESE ATL AGY",0
41339,"COMMERZBANK AKTIENGESELLSCHAFT",0
41553,"FIRST ST BK",0
41629,"PIONEER BK",1076422
41629,"FARMERS & MRCH BK OF STANLEY",1076422
41647,"FIRST BKG CTR",1206715
41759,"FARMERS ST BK OF ELKTON",1128778
41825,"MIDDLETOWN VALLEY BK",0
41937,"FARMERS ST BK DANFORTH",1427529
41955,"BANK OF NEWMAN GROVE",1058688
41955,"FIRST NB OF NEWMAN GROVE",1058688
42037,"PEOPLES EXCH BK OF MONROE CTY",1138870
42055,"ANADARKO B&TC",2188827
42354,"COMMERCIAL NB",1103207
42420,"FIRST COMMONWEALTH BK",1071306
42448,"FIRST NB",1119383
42457,"COMMERCIAL BK OF NELSON",1053142
42541,"NATIONAL CITY BK MW",1069125
42541,"NATIONAL CITY BK MI/IL",1069125
42662,"PARIBAS LA AGY",0
43052,"SECURITY ST BK",1128497
43155,"FIRST NB",1054514
43164,"BNP PARIBAS LA BR",0
43164,"BANQUE NAT DE PARIS LA BR",0
43173,"UNITED CMRL BK",2694814
43324,"EXCHANGE BK",1071454
43324,"EXCHANGE BK",2155388
43351,"LEONARDVILLE ST BK",0
43454,"AMERICAN ST BK OF ERSKINE",1122703
43511,"UNION NAT CMNTY BK",1141106
43557,"CHASE BK OF TEXAS NA",1039502
43557,"CHASE BANK OF TEXAS NA",1039502
43641,"FARMERS ST BK",2557393
43650,"CUSTER CTY ST BK",1065613
43669,"FIRST NB",0
43744,"CAMBRIDGE ST BK",3613504
43744,"CAMBRIDGE ST BK",3483127
43744,"CAMBRIDGE ST BK",2235598
43856,"MINERS NB OF EVELETH",0
43959,"BRIDGE CITY ST BK",1131899
44040,"FIRST NB OF MONTEREY",0
44134,"FIRST CMRL BK",1078846
44134,"FIRST CMRL BK",1140707
44358,"FIDELITY ST BK OF FAIRFAX",1128358
44433,"INTERCREDIT BK NA",0
44451,"TEXAS PREMIER BK NA",0
44602,"MELLON TR OF NEW ENGLAND NA",3587146
44602,"MELLON TR OF NEW ENGLAND NA",1068762
44602,"BOSTON SAFE DEPOSIT & TC",1068762
44741,"CITIZENS BK",1207208
44750,"CITIZENS BK OF NEWBURG",1118621
44769,"WOORI BK LA AGY",0
44769,"HANVIT BK LA AGY",0
44929,"FIRST NB",1137891
44929,"FIRST NB OF MCCONNELSVILLE",1137891
45038,"STATE BK DAVIS",1137453
45047,"FIRST NB AT PARIS",1099805
45047,"FIRST NB AT PARIS",1096167
45056,"PLATTE VALLEY BK",0
45270,"LIBERTY BK SSB",0
45430,"JOHNSON CTY BK",0
45458,"STATE BK OF LEON",0
45551,"BANK MIDWEST",1203714
45551,"BANK MIDWEST MN IA NA",1203714
45560,"JEFFERSON BK",1109290
45560,"JEFFERSON ST BK",1109290
45609,"COHOES SVG BK",0
45627,"FIRST CHARTER BK",1076132
45627,"FIRST CHARTER NB",1076132
45775,"IRON WKRS SVG BK",0
46053,"STATE BK OF FARIBAULT",1126158
46905,"VISTA BK NA",1250277
46905,"PHILLIPSBURG NB&TC",1250277
46941,"FARMERS B&TC",1098554
47153,"NORTH LOUP VALLEY BK",1063637
47247,"DART BK",3726196
47247,"DART BK",0
47256,"COMMUNITY FNCL BK",0
47256,"COMMUNITY ST BK",0
47377,"SOUTHERN FNCL BK",2352990
47425,"F&M BK MD",1074156
47425,"F&M BK MD",1074567
47425,"F&M BK ALLEGIANCE",1074567
47425,"F&M BK-ALLEGIANCE",1074567
47452,"FIRST NB",1982176
47500,"CLAREMONT SVG BK",0
47658,"FIRST ST BK OF FLOODWOOD",1126037
47658,"FIRST ST BK OF FLOODWOOD",1122619
47920,"CRESTAR BK",1131787
47948,"AMCORE BK CLINTON",1208661
48057,"FARMERS NB",1980592
48057,"FARMERS NB OF STAFFORD",1980592
48150,"FRANKLIN ST BK",0
48208,"CORTLAND SVG BK",2648675
48208,"CORTLAND SVG BK",2714833
48374,"FIRST FINANCIAL BK",2568102
48440,"CLEVELAND ST BK",1202865
48552,"FIRST CMNTY BK",1900732
48673,"OKAW B&LA SB",0
48730,"FIRST CMRL BK",1204627
48730,"FIRST CMRL BK",1206041
49054,"COMMERCE BK",2452630
49054,"GENEVA ST BK",2452630
49148,"RUSHVILLE ST BK",1208652
49241,"PINE BLUFF NB",2267665
49250,"WESTERN NE NB",1120754
49250,"WESTERN NE NB",1249440
49344,"MASON ST BK",1249132
49362,"WELLS FARGO BK ARIZONA NA",1120754
49362,"NORWEST BK ARIZONA NA",1120754
49465,"KOREA EXCH BK LA AGY",0
49540,"FIRST B&TC",1247987
49540,"FIRST B&TC",1098527
49643,"PALMYRA ST BK",1203536
49652,"FIRST BK",1055351
49821,"HIGH POINT B&TC",1472220
49858,"BANK SOUTH TX",3392667
49858,"HEBBRONVILLE ST BK",3392667
49858,"HEBBRONVILLE ST BK",2794291
49858,"HEBBRONVILLE ST BK",2692838
49951,"FIRST SECURITY BK",0
49951,"FIRST SECURITY BK",1063981
50005,"FIRST NB OF CORTLAND",1140510
50144,"STATE BK OF MEDORA",0
50461,"CALIFORNIA PACIFIC BK",0
50546,"LITTLE RIVER BK",2463391
50836,"SKYLAKE ST BK",1085004
50854,"WILBURTON ST BK",1022625
50957,"1ST FNCL BK",3105803
50957,"1ST FNCL BK",3347809
50957,"1ST FNCL BK",2952288
50957,"SYLVAN ST BK",2952288
50957,"SYLVAN ST BK",1051849
51253,"BANK OF CAMDEN",3153242
51253,"BANK OF CAMDEN",1098406
51347,"GREEN RIVER BK",1249712
51356,"LATIMER ST BK",1066964
51459,"CENTERA BK",1057289
51459,"HASKELL CTY ST BK",1057289
51730,"CITY BK OF HARTFORD",1129663
51842,"FARMERS & MRCH UNION BK",2653071
51972,"CHART BK A COOP BK",0
51972,"CHARTER BK A CO-OP BK",0
52410,"BARTLETT FARMERS BK",1071856
52456,"HARDWICK ST BK",0
52531,"SUNTRUST BK EAST CENTRAL FL",1131787
52719,"DEPOSITORY TC",0
52755,"M&I MERCHANTS BK",1199497
52764,"CHARTER PACIFIC BK",0
52951,"SECURITY ST BK",0
53015,"HERNDON NB",0
53033,"MELLON UNITED NB",3587146
53033,"MELLON UNITED NB",1068762
53051,"BUCKHOLTS ST BK",0
53239,"GUARANTY BK",1131808
53239,"GUARANTY BK OF MAMOU",1131808
53314,"FIRST NB OF SPANGLER",0
