rssd9001,bank_name_CR,rssd9348
37,"BANK OF HANCOCK CTY",0
242,"FIRST CMNTY BK XENIA FLORA",3088643
242,"FIRST CMNTY BK XENIA-FLORA",3088643
242,"FIRST CMNTY BK XENIA-FLORA",0
242,"FIRST NB OF XENIA",0
279,"MINEOLA CMNTY BK SSB",3619720
279,"MINEOLA CMNTY BK SSB",0
354,"BISON ST BK",0
439,"PEOPLES BK",1086748
439,"PEOPLES BK",1493841
457,"LOWRY ST BK",1127016
505,"BALLSTON SPA NB",1048728
608,"VERMONT NB",1114605
608,"VERMONT NB",1114931
1146,"PULASKI B&TC",2291914
1146,"PULASKI B&TC",1095423
1155,"FIRST ST BK & TR CO",1247231
1155,"FIRST ST BK",1247231
1351,"BANK OF GRANDIN",0
1454,"HILLTOP NB",1054840
1511,"ROYAL BK OF SCOTLAND PLC NY BR",0
1557,"FIRST ST BK KIOWA KS",1059434
1557,"FIRST ST BK",1059434
1632,"SEA ISLAND BK",1078846
1632,"SEA ISLAND BK",1140707
1669,"LIBERTY NB",2465283
1829,"ALLEGHENY VALLEY BK",1247419
1829,"ALLEGHENY VALLEY BK OF PITTSBU",1247419
1856,"WASHITA ST BK",0
1856,"WASHITA ST BK",1062519
1959,"SECURITY ST BK",0
2040,"FARMERS & MRCH BK",1245602
2161,"LAMAR NB",1136906
2255,"FIRST BK",1831760
2376,"ORITANI BK",0
2376,"ORITANI SVG BK",0
2451,"THUNDER BK",3220498
2451,"BEVERLY ST BK",1066339
2451,"BEVERLY ST BK",1061101
2554,"STATE BK OF MARIETTA",3615272
2554,"STATE BK OF MARIETTA",1363917
2648,"FIRSTAR BK IL",2724645
2732,"ALBANY B&TC NA",1208933
2750,"GENOA NB",0
2938,"SECURITY B&TC OF ALBANY",1078846
2938,"SECURITY B&TC OF ALBANY",1140707
2956,"CITIZENS HOME BK",1846634
2956,"CITIZENS HOME BK",0
3252,"FIRST NB OF GORDON",1050794
3403,"ALLIED IRISH BKS NY BR",0
3458,"FARMERS BK",1061165
3458,"FARMERS BK OF GREEN CITY",1061165
3506,"INTERCHANGE BK",1138535
3579,"CLASSIC BK CORP",2469245
3720,"BANK OF CLARENDON",0
3953,"FIRST CAPITAL BK",2324951
4053,"FRONTIER BK OF LARAMIE CTY",0
4138,"FIRST NB OF LAFOLLETTE",1086506
4147,"INDEPENDENT BK",2613945
4147,"BANK OF VERONA",2613945
4156,"KANZA BK",2325369
4156,"STATE BK OF KINGMAN",2325369
4231,"FARMERS & MRCH BK",1863239
4268,"PASADENA ST BK",1103823
4437,"FIRST NB",1142840
4455,"FIRST ST BK",1058772
4512,"CREDIT SUISSE NY BR",0
